country,attempts,successes,srate,locations
Montenegro,198,57,0.2878787878787879,12
Chile,422,188,0.44549763033175355,19
Ecuador,183,88,0.4808743169398907,30
Botswana,125,66,0.528,18
Croatia,684,364,0.5321637426900585,24
Laos,257,140,0.5447470817120622,13
Eswatini,152,85,0.5592105263157895,25
Estonia,85,50,0.5882352941176471,24
Iceland,297,178,0.5993265993265994,21
Slovenia,219,141,0.6438356164383562,12
Uruguay,487,316,0.648870636550308,25
Slovakia,395,260,0.6582278481012658,20
Dominican Republic,535,354,0.6616822429906543,28
Albania,231,153,0.6623376623376623,18
Latvia,539,359,0.6660482374768089,23
Serbia,466,315,0.6759656652360515,27
Bulgaria,547,371,0.6782449725776966,22
Ukraine,515,352,0.683495145631068,24
Sri Lanka,527,375,0.7115749525616698,22
Argentina,80,57,0.7125,19
Guatemala,92,66,0.717391304347826,22
Peru,212,154,0.7264150943396226,22
Norway,771,562,0.728923476005188,21
Pakistan,74,54,0.7297297297297297,20
Denmark,345,253,0.7333333333333333,16
Lesotho,34,25,0.7352941176470589,10
Malta,343,258,0.7521865889212828,20
Bolivia,215,162,0.7534883720930232,26
Lithuania,303,229,0.7557755775577558,31
Switzerland,283,215,0.7597173144876325,13
North Macedonia,765,585,0.7647058823529411,31
Finland,124,95,0.7661290322580645,20
Hungary,453,348,0.7682119205298014,28
New Zealand,347,269,0.7752161383285303,24
South Africa,147,114,0.7755102040816326,17
Brazil,805,625,0.7763975155279503,28
Senegal,1137,888,0.7810026385224275,32
Tunisia,574,451,0.7857142857142857,28
Czech Republic,374,295,0.7887700534759359,29
Indonesia,467,369,0.7901498929336188,26
Portugal,936,742,0.7927350427350427,37
France,1077,855,0.7938718662952646,34
Ireland,745,592,0.7946308724832215,30
Australia,878,698,0.7949886104783599,37
Costa Rica,393,317,0.806615776081425,21
Belgium,688,555,0.8066860465116279,24
Russia,340,276,0.8117647058823529,26
Singapore,864,707,0.8182870370370371,22
Ghana,579,477,0.8238341968911918,22
Bangladesh,973,808,0.8304213771839671,35
Nigeria,671,558,0.8315946348733234,26
Cambodia,668,558,0.8353293413173652,25
Colombia,620,520,0.8387096774193549,31
Romania,404,340,0.8415841584158416,24
Uganda,216,182,0.8425925925925926,21
Luxembourg,45,38,0.8444444444444444,10
Philippines,383,324,0.8459530026109661,21
Spain,639,547,0.8560250391236307,23
Canada,376,322,0.8563829787234043,25
Jordan,879,753,0.856655290102389,34
Mexico,447,385,0.8612975391498882,22
Kenya,741,641,0.865047233468286,34
Sweden,1007,873,0.8669314796425025,24
China,78,68,0.8717948717948718,20
Mongolia,461,402,0.8720173535791758,24
India,460,402,0.8739130434782608,25
Thailand,461,404,0.8763557483731019,23
Greece,1044,916,0.8773946360153256,30
United Arab Emirates,576,510,0.8854166666666666,25
Kyrgyz Republic,394,351,0.8908629441624365,25
Poland,983,877,0.8921668362156663,26
Malaysia,286,256,0.8951048951048951,18
Italy,987,889,0.900709219858156,30
Israel,968,879,0.9080578512396694,30
Austria,540,491,0.9092592592592592,29
Netherlands,621,565,0.9098228663446055,27
Germany,377,351,0.9310344827586207,24
Japan,973,923,0.9486125385405961,37
Turkey,772,733,0.9494818652849741,24
United Kingdom,347,331,0.9538904899135446,23
Egypt,751,718,0.9560585885486018,29
United States,1012,973,0.9614624505928854,30
South Korea,976,945,0.9682377049180327,29
Vietnam,197,195,0.9898477157360406,21
